id,unit_number,unit_size,unit_balcony_size,unit_current_price,unit_construction_year,unit_scan_date,unit_status_id,project_id,unit_category_id,unit_type_id,unit_url,unit_rooms,unit_floor,sqrm_price
208,Korter 12,46.7,4.1,0,2021,2021-03-05,3,6,1,1,#,2,3,0
209,Korter 13,86.7,13.6,0,2021,2021-03-05,3,6,1,1,#,4,3,0
210,Korter 14,47.2,4.1,0,2021,2021-03-05,3,6,1,1,#,2,3,0
211,Korter 1,68.3,14.8,0,2021,2021-03-05,3,7,1,1,#,3,1,0
212,Korter 2,69.2,14.8,0,2021,2021-03-05,3,7,1,1,#,3,1,0
213,Korter 3,47.1,13.5,0,2021,2021-03-05,3,7,1,1,#,2,1,0
214,Korter 4,47.2,13.5,0,2021,2021-03-05,3,7,1,1,#,2,1,0
215,Korter 5,68.3,6.8,0,2021,2021-03-05,3,7,1,1,#,3,2,0
216,Korter 6,69.2,6.8,0,2021,2021-03-05,3,7,1,1,#,3,2,0
217,Korter 7,46.7,4.1,0,2021,2021-03-05,3,7,1,1,#,2,2,0
218,Korter 8,86.7,13.6,0,2021,2021-03-05,3,7,1,1,#,4,2,0
219,Korter 9,47.2,4.1,0,2021,2021-03-05,3,7,1,1,#,2,2,0
220,Korter 10,68.3,6.8,154900,2021,2021-03-05,1,7,1,1,https://kaamos.ee/vahtramae/prices/redise-18/korter-10/,3,3,2267.94
221,Korter 11,69.2,6.8,0,2021,2021-03-05,3,7,1,1,#,3,3,0
222,Korter 12,46.7,4.1,0,2021,2021-03-05,3,7,1,1,#,2,3,0
223,Korter 13,86.7,13.6,0,2021,2021-03-05,3,7,1,1,#,4,3,0
224,Korter 14,47.2,4.1,0,2021,2021-03-05,3,7,1,1,#,2,3,0
225,1,64.9,21.1,162900,2021,2021-03-05,1,8,1,1,"",3,1,2510.02
226,2,67.1,21.1,165900,2021,2021-03-05,1,8,1,1,"",3,1,2472.43
227,3,85.1,23.6,203900,2021,2021-03-05,1,8,1,1,"",4,1,2396
228,4,67,42.9,167900,2021,2021-03-05,1,8,1,1,"",3,1,2505.97
229,5,65,9.1,0,2021,2021-03-05,3,8,1,1,"",3,1,0
230,6,42.2,4.6,0,2021,2021-03-05,3,8,1,1,"",2,2,0
231,7,45.8,9.1,0,2021,2021-03-05,3,8,1,1,"",2,2,0
232,8,66.9,9.1,162900,2021,2021-03-05,1,8,1,1,"",3,2,2434.98
233,9,45.5,4.5,0,2021,2021-03-05,3,8,1,1,"",2,2,0
